LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (4143.0751 57.106480 57.106480)
  64 by 1 by 1 MPI processor grid
  reading atoms ...
  360800 atoms
  read_data CPU = 5.052 seconds
800 atoms in group source
800 atoms in group detector
400 atoms in group edge
400 atoms in group edge_buf
120000 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 546 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.376 | 4.616 | 9.668 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz 
        0.09       90    4143.0751   0.40390331 4.1980372e-13 -3.2414929e-12     57.10648     57.10648   -97.921835   -97.921835 3.2123797e-12 
       0.091       91    4143.0751   0.40243327 5.6485423e-13 -1.8850181e-12     57.10648     57.10648   -97.922715   -97.922715 2.0356317e-12 
       0.092       92    4143.0751   0.40098512 4.2766668e-13 -2.1366765e-12     57.10648     57.10648   -97.923585   -97.923585 1.8988886e-12 
       0.093       93    4143.0751    0.3996515 8.7689957e-14 -1.8396123e-12     57.10648     57.10648   -97.924379   -97.924379 1.8182144e-12 
       0.094       94    4143.0751   0.39828916 2.7067562e-13 -3.0199722e-13     57.10648     57.10648   -97.925184   -97.925184 1.0518704e-12 
       0.095       95    4143.0751   0.39692429 8.3806766e-14 -1.4212942e-13     57.10648     57.10648   -97.925995   -97.925995 7.5192309e-13 
       0.096       96    4143.0751   0.39560049 -5.0657917e-14 -1.768546e-13     57.10648     57.10648   -97.926789   -97.926789 9.1348789e-13 
       0.097       97    4143.0751    0.3942629 4.0209665e-13 2.6580031e-13     57.10648     57.10648   -97.927591   -97.927591 5.9542249e-13 
       0.098       98    4143.0751   0.39292709 2.2397821e-15 -4.5097575e-13     57.10648     57.10648   -97.928384   -97.928384 8.9858329e-13 
       0.099       99    4143.0751   0.39170883 -7.7267367e-14 -5.0496966e-13     57.10648     57.10648   -97.929105   -97.929105 1.0678145e-12 
         0.1      100    4143.0751   0.39042615 4.2034488e-13 3.5378158e-13     57.10648     57.10648   -97.929868   -97.929868 8.3658502e-13 
       0.101      101    4143.0751   0.38910176 7.1709463e-13 6.3277465e-13     57.10648     57.10648   -97.930663   -97.930663 1.1168074e-12 
       0.102      102    4143.0751   0.38788147 3.2842035e-13 5.1549364e-13     57.10648     57.10648   -97.931393   -97.931393 9.2532091e-13 
       0.103      103    4143.0751   0.38661696 -1.1043026e-13 3.2132798e-13     57.10648     57.10648   -97.932143   -97.932143 7.3336998e-13 
       0.104      104    4143.0751   0.38539703 -8.014855e-13 -1.86257e-13     57.10648     57.10648   -97.932865   -97.932865 6.9759093e-13 
       0.105      105    4143.0751   0.38421861 -8.5332298e-13 -6.2238016e-13     57.10648     57.10648   -97.933569   -97.933569 7.4322162e-13 
       0.106      106    4143.0751   0.38296844 -3.1657275e-13 -4.0673801e-14     57.10648     57.10648   -97.934319   -97.934319 5.5637951e-13 
       0.107      107    4143.0751   0.38174341 -7.7743585e-13 -3.2606247e-13     57.10648     57.10648   -97.935051   -97.935051 3.8374942e-13 
       0.108      108    4143.0751   0.38060172 -9.5308119e-13 -1.9411329e-13     57.10648     57.10648   -97.935727   -97.935727 4.3101386e-13 
       0.109      109    4143.0751   0.37943994 -4.3958258e-13 -1.3969497e-13     57.10648     57.10648   -97.936415   -97.936415 3.8758874e-13 
        0.11      110    4143.0751   0.37822503 -2.2686249e-13 -8.1267332e-13     57.10648     57.10648   -97.937142   -97.937142 7.7454144e-13 
       0.111      111    4143.0751   0.37708622 -3.0723031e-13 -4.8920942e-13     57.10648     57.10648   -97.937825   -97.937825 8.9161517e-13 
       0.112      112    4143.0751   0.37592272 -4.7678162e-13 -1.4869807e-13     57.10648     57.10648   -97.938518   -97.938518 6.5340109e-13 
       0.113      113    4143.0751   0.37477478 -1.3569863e-12 -8.9634282e-13     57.10648     57.10648   -97.939198   -97.939198 7.3458216e-13 
       0.114      114    4143.0751   0.37369879 -2.0451314e-12 -1.2951106e-12     57.10648     57.10648   -97.939837   -97.939837 8.4539161e-13 
       0.115      115    4143.0751   0.37254023 -1.5248744e-12 -1.1190789e-12     57.10648     57.10648    -97.94053    -97.94053 6.2122524e-13 
       0.116      116    4143.0751     0.371408 -1.6463074e-12 -1.5473988e-12     57.10648     57.10648   -97.941209   -97.941209 6.9905116e-13 
       0.117      117    4143.0751   0.37033342 -1.3870393e-12 -1.2904889e-12     57.10648     57.10648   -97.941848   -97.941848 5.1320672e-13 
       0.118      118    4143.0751   0.36923042 -9.4277604e-13 -4.4150095e-13     57.10648     57.10648   -97.942501   -97.942501 4.6188638e-13 
       0.119      119    4143.0751   0.36813075 -6.9810433e-13 -5.3173807e-13     57.10648     57.10648   -97.943155   -97.943155 4.4670276e-13 
        0.12      120    4143.0751   0.36704628 -5.3988818e-13 -6.6931658e-13     57.10648     57.10648   -97.943805   -97.943805 5.532514e-13 
       0.121      121    4143.0751   0.36594165 -4.4967722e-13 -3.954515e-13     57.10648     57.10648   -97.944466   -97.944466 4.7309437e-13 
       0.122      122    4143.0751   0.36485405 -7.0931972e-13 -9.3839289e-13     57.10648     57.10648   -97.945112   -97.945112 7.3112425e-13 
       0.123      123    4143.0751   0.36383906 -6.8112148e-13 -1.3135084e-12     57.10648     57.10648   -97.945713   -97.945713 8.4887787e-13 
       0.124      124    4143.0751   0.36275867 -7.5060465e-13 -9.2293679e-13     57.10648     57.10648   -97.946357   -97.946357 5.7909492e-13 
       0.125      125    4143.0751   0.36167227 -8.4752716e-13 -1.3073885e-12     57.10648     57.10648   -97.947008   -97.947008 5.9497308e-13 
       0.126      126    4143.0751   0.36065554 -1.0711881e-12 -1.4276593e-12     57.10648     57.10648   -97.947616   -97.947616 6.0727147e-13 
       0.127      127    4143.0751   0.35960039 -1.0272155e-12 -1.2407196e-12     57.10648     57.10648   -97.948242   -97.948242 3.5463321e-13 
       0.128      128    4143.0751   0.35857707 -1.1621348e-12 -1.4436368e-12     57.10648     57.10648   -97.948849   -97.948849 3.9135696e-13 
       0.129      129    4143.0751   0.35755144 -9.0880114e-13 -1.2618613e-12     57.10648     57.10648   -97.949461   -97.949461 4.3501893e-13 
        0.13      130    4143.0751   0.35648969 -4.2846025e-13 -9.1255408e-13     57.10648     57.10648   -97.950097   -97.950097 3.9935456e-13 
       0.131      131    4143.0751   0.35546916 -6.9269102e-13 -9.0349831e-13     57.10648     57.10648   -97.950706   -97.950706 5.9344759e-13 
