LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 2 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (436.86457 57.106480 57.106480)
  16 by 2 by 2 MPI processor grid
  reading atoms ...
  120800 atoms
  read_data CPU = 0.217 seconds
800 atoms in group source
800 atoms in group detector
0 atoms in group edge
0 atoms in group edge_buf
0 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 58 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.301 | 2.470 | 2.508 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz TotEng Temp Volume 
       0.074       74    436.86457    1.7993086 1.3129821e-10 1.4845833e-10     57.10648     57.10648   -930.78419   -930.78419 3.0820324e-11    -497263.4            0    1424680.9 
       0.075       75    436.86457     1.783022 7.7182637e-11 8.3840914e-11     57.10648     57.10648    -930.7938    -930.7938 1.5100651e-11    -497263.4            0    1424680.9 
       0.076       76    436.86457    1.7650539 6.0953131e-11 9.2210549e-11     57.10648     57.10648   -930.80456   -930.80456 3.0464926e-12    -497263.4            0    1424680.9 
       0.077       77    436.86457    1.7488367 6.0341323e-11 1.2101318e-10     57.10648     57.10648   -930.81432   -930.81432 2.034532e-11    -497263.4            0    1424680.9 
       0.078       78    436.86457    1.7329421 4.6774068e-11 7.6825315e-11     57.10648     57.10648   -930.82381   -930.82381 3.6535274e-11    -497263.4            0    1424680.9 
       0.079       79    436.86457    1.7165072 4.2060171e-11 6.5268382e-11     57.10648     57.10648    -930.8335    -930.8335 2.9955937e-11    -497263.4            0    1424680.9 
        0.08       80    436.86457    1.7016357 4.3709702e-11 8.8738925e-11     57.10648     57.10648   -930.84232   -930.84232 9.2370683e-12    -497263.4            0    1424680.9 
       0.081       81    436.86457    1.6861405 2.5627188e-11 6.0256555e-11     57.10648     57.10648   -930.85161   -930.85161 -5.406103e-12    -497263.4            0    1424680.9 
       0.082       82    436.86457    1.6700851 2.3729115e-11 5.664946e-11     57.10648     57.10648   -930.86126   -930.86126 -8.4157338e-12    -497263.4            0    1424680.9 
       0.083       83    436.86457    1.6553961 2.9566846e-11 8.9206138e-11     57.10648     57.10648      -930.87      -930.87 -1.5679142e-11    -497263.4            0    1424680.9 
       0.084       84    436.86457    1.6414087 9.8322387e-12 7.0449594e-11     57.10648     57.10648   -930.87825   -930.87825 -1.3811446e-11    -497263.4            0    1424680.9 
       0.085       85    436.86457    1.6265047 2.3237698e-12 6.6883471e-11     57.10648     57.10648    -930.8871    -930.8871 -9.323706e-12    -497263.4            0    1424680.9 
       0.086       86    436.86457     1.611943 6.0263123e-12 8.8767385e-11     57.10648     57.10648   -930.89585   -930.89585 5.204408e-12    -497263.4            0    1424680.9 
       0.087       87    436.86457    1.5982496 2.6073381e-12 7.1000215e-11     57.10648     57.10648   -930.90407   -930.90407 1.559717e-11    -497263.4            0    1424680.9 
       0.088       88    436.86457    1.5837517 -1.4771356e-12 6.2028094e-11     57.10648     57.10648   -930.91267   -930.91267 9.2921872e-12    -497263.4            0    1424680.9 
       0.089       89    436.86457    1.5704858 -5.5352908e-12 6.9763668e-11     57.10648     57.10648   -930.92051   -930.92051 -7.7384315e-12    -497263.4            0    1424680.9 
        0.09       90    436.86457    1.5573948 -8.8043001e-12 5.1156246e-11     57.10648     57.10648   -930.92831   -930.92831 -1.1523513e-11    -497263.4            0    1424680.9 
       0.091       91    436.86457    1.5431291 -3.1080818e-12 3.5003753e-11     57.10648     57.10648   -930.93688   -930.93688 -1.3994553e-11    -497263.4            0    1424680.9 
       0.092       92    436.86457    1.5300218 5.4259738e-12 3.8286417e-11     57.10648     57.10648   -930.94472   -930.94472 -2.0031149e-11    -497263.4            0    1424680.9 
       0.093       93    436.86457    1.5174116 5.5065381e-12 2.5809342e-11     57.10648     57.10648   -930.95219   -930.95219 -4.0165826e-12    -497263.4            0    1424680.9 
       0.094       94    436.86457    1.5043559 9.1175596e-12 1.1287537e-11     57.10648     57.10648   -930.95991   -930.95991 1.4187408e-11    -497263.4            0    1424680.9 
       0.095       95    436.86457    1.4914057 2.3702308e-11 -3.7538701e-13     57.10648     57.10648   -930.96765   -930.96765 2.7855468e-11    -497263.4            0    1424680.9 
       0.096       96    436.86457    1.4790497 2.4435946e-11 -1.1338578e-11     57.10648     57.10648   -930.97507   -930.97507 1.8924013e-11    -497263.4            0    1424680.9 
       0.097       97    436.86457    1.4661762 1.9680686e-11 -1.3336172e-11     57.10648     57.10648   -930.98276   -930.98276 1.0506038e-11    -497263.4            0    1424680.9 
       0.098       98    436.86457    1.4539342 2.3103978e-11 -7.6191396e-12     57.10648     57.10648      -930.99      -930.99 8.7761309e-12    -497263.4            0    1424680.9 
       0.099       99    436.86457    1.4424605 1.785649e-11 -3.7584675e-12     57.10648     57.10648    -930.9968    -930.9968 6.2311516e-12    -497263.4            0    1424680.9 
         0.1      100    436.86457    1.4296654 1.3288475e-11 -5.6986601e-12     57.10648     57.10648   -931.00446   -931.00446 2.9067957e-12    -497263.4            0    1424680.9 
